Date,Close,High,Low,Open,Volume
7/19/2023,181.2089996,181.6060028,179.8439941,181.2089996,0
7/20/2023,180.5820007,180.7030029,179.7319946,180.5820007,0
7/21/2023,180.0140076,182.5090027,179.9340057,180.0140076,0
7/24/2023,182.1849976,182.3240051,180.8159943,182.1849976,0
7/25/2023,181.2799988,181.9859924,181.1670074,181.2799988,0
7/26/2023,181.6809998,181.9080048,180.9109955,181.6809998,0
7/27/2023,181.4429932,181.9019928,180.8170013,181.4429932,0
7/28/2023,177.6519928,181.1139984,176.4029999,177.6519928,0
7/31/2023,180.9170074,183.1759949,180.8699951,180.9170074,0
8/1/2023,182.647995,183.2279968,182.5839996,182.647995,0
8/2/2023,182.8970032,183.121994,181.7559967,182.8970032,0
8/3/2023,182.3150024,182.7420044,180.4830017,182.3150024,0
8/4/2023,181.3139954,181.7129974,180.753006,181.3139954,0
8/7/2023,180.8540039,181.8930054,180.5820007,180.8540039,0
8/8/2023,182.1470032,182.9450073,181.3999939,182.1470032,0
8/9/2023,182.5200043,183.0059967,182.3769989,182.5200043,0
8/10/2023,182.8070068,184.2059937,182.6999969,182.8070068,0
8/11/2023,183.5130005,184.2290039,183.4349976,183.5130005,0
8/14/2023,183.8370056,184.4340057,183.4559937,183.8370056,0
8/15/2023,184.4499969,185.2910004,184.3540039,184.4499969,0
8/16/2023,184.9290009,186.0220032,184.6799927,184.9290009,0
8/17/2023,186.227005,186.4689941,185.7899933,186.227005,0
8/18/2023,185.7449951,185.8690033,184.5679932,185.7449951,0
8/21/2023,185.1359406,186.3560028,184.8809967,185.1359406,0
8/22/2023,186.598999,186.7489929,185.5700073,186.598999,0
8/23/2023,185.572998,185.9160004,183.397995,185.572998,0
8/24/2023,184.0220032,184.7380066,184,184.0220032,0
8/25/2023,183.9290009,184.352005,183.3910065,183.9290009,0
8/28/2023,184.4629974,184.6320038,184.1799927,184.4629974,0
8/29/2023,184.6959991,185.246994,184.1049957,184.6959991,0
8/30/2023,184.4689941,185.7220001,184.4089966,184.4689941,0
8/31/2023,185.6940002,185.7969971,184.4036255,185.6940002,0
9/1/2023,184.3320007,184.5390015,183.5390015,184.3320007,0
9/4/2023,183.8800049,185.0679932,183.875,183.8800049,0
9/5/2023,184.9299927,185.7599945,184.0720062,184.9299927,0
9/6/2023,185.3549957,185.5899963,184.2810059,185.3549957,0
9/7/2023,184.6080017,184.7489929,183.3860016,184.6080017,0
9/8/2023,183.7799988,184.4490051,183.1759949,183.7799988,0
9/11/2023,183.7149963,183.8939972,182.6699982,183.7149963,0
9/12/2023,183.451004,183.8630066,182.977005,183.451004,0
9/13/2023,183.798996,184.3609924,183.2050018,183.798996,0
9/14/2023,184.0110016,184.0559998,182.5599976,184.0110016,0
9/15/2023,182.8739929,183.8959961,182.7700043,182.8739929,0
9/18/2023,183.3079987,183.3320007,182.7400055,183.3079987,0
9/19/2023,182.7700043,183.4689941,182.7319946,182.7700043,0
9/20/2023,183.0890045,183.3410034,182.4929962,183.0890045,0
9/21/2023,182.8339996,182.9190063,181.0879974,182.8339996,0
9/22/2023,181.4989929,182.2879944,181.1959991,181.4989929,0
9/25/2023,181.6920013,181.951004,181.4100037,181.6920013,0
9/26/2023,181.7299957,181.7940063,181.0610046,181.7299957,0
9/27/2023,181.0200043,181.5350037,180.8829956,181.0200043,0
9/28/2023,181.4069977,182.3959961,181.0630035,181.4069977,0
9/29/2023,182.2480011,182.9909973,181.8999939,182.2480011,0
10/2/2023,182.3099976,182.7980042,181.5370026,182.3099976,0
10/3/2023,181.1730042,181.3549957,179.6649933,181.1730042,0
10/4/2023,180.1820068,181.2409973,179.5899963,180.1820068,0
10/5/2023,180.7890015,180.9279938,180.3200073,180.7890015,0
10/6/2023,180.9219971,182.746994,180.8359985,180.9219971,0
10/9/2023,182.2740021,182.2960052,181.2660065,182.2740021,0
10/10/2023,181.6829987,182.7660065,181.5650024,181.6829987,0
